Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,2.236068,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (3),3.008322,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody,57.00877,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (1),1.389244,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (2),1.749286,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (1),75.16648,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (4),50.24938,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (3),36.40055,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (2),41.23106,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (1),72.28493,14.45699,5,1.261673,False,505,2022-Nov-20 @ Time 20:42:58
Orb,2.61634,0.523268,5,40.50484,True,505,2022-Nov-20 @ Time 20:42:59
Orb (3),7.645762,1.529152,5,24.88099,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody,105.3924,2.107849,50,23.15392,True,505,2022-Nov-20 @ Time 20:42:59
Orb (2),14.5827,2.91654,5,10.55456,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (1),84.76231,1.695246,50,63.19455,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (4),169.0927,3.381854,50,11.90498,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (3),56.42155,1.128431,50,30.40828,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (2),129.2851,2.585701,50,13.98221,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (4),644.9321,12.89864,50,1.607966,False,555,2022-Nov-20 @ Time 20:43:01
Orb (2),76.82333,15.36467,5,1.106545,False,560,2022-Nov-20 @ Time 20:43:02
GiantCelestialBody (2),653.2665,13.06533,50,1.647374,False,610,2022-Nov-20 @ Time 20:43:02
Orb,5.54766,1.109532,5,36.85447,True,610,2022-Nov-20 @ Time 20:43:04
Orb (3),18.3022,3.66044,5,13.75779,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody,276.0549,5.521098,50,8.095456,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody (1),97.76904,1.955381,50,54.5492,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody (3),102.2392,2.044784,50,23.97806,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody,672.5355,13.45071,50,1.743188,False,660,2022-Nov-20 @ Time 20:43:05
Orb (3),81.83638,16.36728,5,1.333129,False,665,2022-Nov-20 @ Time 20:43:06
Orb,9.503997,1.900799,5,29.6871,True,665,2022-Nov-20 @ Time 20:43:09
GiantCelestialBody (1),116.9488,2.338976,50,44.38969,True,665,2022-Nov-20 @ Time 20:43:09
GiantCelestialBody (3),240.1184,4.802368,50,10.3721,True,665,2022-Nov-20 @ Time 20:43:09
Orb,17.99141,3.598282,5,16.93763,True,665,2022-Nov-20 @ Time 20:43:14
GiantCelestialBody (1),147.4568,2.949136,50,32.01253,True,665,2022-Nov-20 @ Time 20:43:14
GiantCelestialBody (3),163.812,3.276241,50,16.14594,True,665,2022-Nov-20 @ Time 20:43:14
Orb,88.27256,17.65451,5,1.213789,False,670,2022-Nov-20 @ Time 20:43:17
GiantCelestialBody (1),225.6586,4.513171,50,15.58359,True,670,2022-Nov-20 @ Time 20:43:19
GiantCelestialBody (3),79.31975,1.586395,50,26.09051,True,670,2022-Nov-20 @ Time 20:43:19
GiantCelestialBody (1),251.5116,5.030231,50,13.01154,True,670,2022-Nov-20 @ Time 20:43:24
GiantCelestialBody (3),43.5392,0.8707839,50,29.778,True,670,2022-Nov-20 @ Time 20:43:24
GiantCelestialBody (1),190.7052,3.814105,50,31.74322,True,670,2022-Nov-20 @ Time 20:43:29
GiantCelestialBody (3),48.83597,0.9767195,50,27.55215,True,670,2022-Nov-20 @ Time 20:43:29
