Date/Time, Black Hole Mass, Radius, Gravitational Pull
2022-Nov-20 @ Time 20:42:58,505,0.994888586589419,6.6743E-11
2022-Nov-20 @ Time 20:43:01,555,1.09339247311845,6.6743E-11
2022-Nov-20 @ Time 20:43:02,560,1.10324285575916,6.6743E-11
2022-Nov-20 @ Time 20:43:02,610,1.20174668216623,6.6743E-11
2022-Nov-20 @ Time 20:43:05,660,1.30025050857329,6.6743E-11
2022-Nov-20 @ Time 20:43:06,665,1.310100891214,6.6743E-11
2022-Nov-20 @ Time 20:43:17,670,1.31995127385471,6.6743E-11
